state_code,state_name,district_code,district_name
19,Madhya Pradesh,312,Khandwa
19,Madhya Pradesh,313,Khargone
11,Gujarat,148,Kheda
34,Uttar Pradesh,630,Khiri (Lakhimpur)
33,Tripura,580,Khowai
26,Odisha,435,Khurda
13,Himachal Pradesh,191,Kinnaur (At Kalpa)
24,Nagaland,403,Kiphire
5,Bihar,73,Kishanganj
14,Jammu and Kashmir,208,Kishtwar
15,Jharkhand,232,Koderma
24,Nagaland,404,Kohima
4,Assam,45,Kokrajhar
16,Karnataka,258,Kolar
23,Mizoram,398,Kolasib
20,Maharashtra,354,Kolhapur
36,West Bengal,686,Kolkata
17,Kerala,277,Kollam
7,Chattisgarh,112,Kondagaon
16,Karnataka,259,Koppal
26,Odisha,436,Koraput
7,Chattisgarh,113,Korba
7,Chattisgarh,114,Koria
29,Rajasthan,508,Kota
29,Rajasthan,509,Kotputli- Behror
17,Kerala,278,Kottayam
17,Kerala,279,Kozhikode(Calicut)
2,Andhra Pradesh,9,Krishna
31,Tamil Nadu,538,Krishnagiri
14,Jammu and Kashmir,209,Kulgam
13,Himachal Pradesh,192,Kullu
14,Jammu and Kashmir,210,Kupwara
2,Andhra Pradesh,10,Kurnool
12,Haryana,175,Kurukshetra
3,Arunachal Pradesh,20,Kurung Kummey
34,Uttar Pradesh,631,Kushinagar
13,Himachal Pradesh,193,Lahul & Spiti
34,Uttar Pradesh,632,Lakhimpur
4,Assam,46,Lakhimpur
34,Uttar Pradesh,633,Lalitpur
15,Jharkhand,233,Latehar
20,Maharashtra,355,Latur
14,Jammu and Kashmir,211,Leh
15,Jharkhand,234,Lohardaga
3,Arunachal Pradesh,21,Lohit
24,Nagaland,405,Longleng
3,Arunachal Pradesh,22,Lower Dibang Valley
3,Arunachal Pradesh,23,Lower Subansiri
5,Bihar,74,Luckeesarai
34,Uttar Pradesh,634,Lucknow
28,Punjab,463,Ludhiana
23,Mizoram,399,Lungli
5,Bihar,75,Madhepura
5,Bihar,76,Madhubani
16,Karnataka,260,Madikeri(Kodagu)
31,Tamil Nadu,539,Madurai
34,Uttar Pradesh,635,Maharajganj
7,Chattisgarh,115,Mahasamund
32,Telangana,571,Mahbubnagar
27,Pondicherry,449,Mahe
12,Haryana,176,Mahendragarh-Narnaul
11,Gujarat,149,Mahisagar
34,Uttar Pradesh,636,Mahoba
34,Uttar Pradesh,637,Mainpuri
17,Kerala,280,Malappuram
36,West Bengal,687,Malda
26,Odisha,437,Malkangiri
23,Mizoram,400,Mamit
32,Telangana,706,Mancherial
13,Himachal Pradesh,194,Mandi
19,Madhya Pradesh,314,Mandla
19,Madhya Pradesh,315,Mandsaur
16,Karnataka,261,Mandya
4,Assam,47,Mangaldoi
16,Karnataka,262,Mangalore(Dakshin Kannad)
28,Punjab,464,Mansa
34,Uttar Pradesh,638,Mathura
34,Uttar Pradesh,639,Mau(Maunathbhanjan)
31,Tamil Nadu,540,Mayiladuthurai
26,Odisha,438,Mayurbhanja
32,Telangana,572,Medak
36,West Bengal,688,Medinipur(E)
36,West Bengal,689,Medinipur(W)
34,Uttar Pradesh,640,Meerut
11,Gujarat,150,Mehsana
12,Haryana,177,Mewat
34,Uttar Pradesh,641,Mirzapur
28,Punjab,465,Moga
28,Punjab,466,Mohali
24,Nagaland,406,Mokokchung
24,Nagaland,407,Mon
11,Gujarat,151,Morbi
19,Madhya Pradesh,316,Morena
4,Assam,48,Morigaon
28,Punjab,467,Muktsar
20,Maharashtra,356,Mumbai
7,Chattisgarh,116,Mungeli
5,Bihar,77,Munghair
36,West Bengal,690,Murshidabad
20,Maharashtra,357,Murum
34,Uttar Pradesh,642,Muzaffarnagar
5,Bihar,78,Muzaffarpur
16,Karnataka,263,Mysore
36,West Bengal,691,Nadia
4,Assam,49,Nagaon
31,Tamil Nadu,541,Nagapattinam
29,Rajasthan,510,Nagaur
31,Tamil Nadu,542,Nagercoil (Kannyiakumari)
20,Maharashtra,358,Nagpur
5,Bihar,79,Nalanda
4,Assam,50,Nalbari
32,Telangana,573,Nalgonda
31,Tamil Nadu,543,Namakkal
20,Maharashtra,359,Nanded
20,Maharashtra,360,Nandurbar
2,Andhra Pradesh,715,Nandyal
35,Uttarakhand,668,Nanital
7,Chattisgarh,117,Narayanpur
11,Gujarat,152,Narmada
19,Madhya Pradesh,317,Narsinghpur
20,Maharashtra,361,Nashik
11,Gujarat,153,Navsari
5,Bihar,80,Nawada
28,Punjab,468,Nawanshahr
26,Odisha,439,Nayagarh
29,Rajasthan,511,Neem Ka Thana
19,Madhya Pradesh,318,Neemuch
2,Andhra Pradesh,11,Nellore
1,Andaman and Nicobar,1,Nicobar
32,Telangana,574,Nizamabad
22,Meghalaya,389,Nongpoh (R-Bhoi)
36,West Bengal,692,North 24 Parganas
7,Chattisgarh,118,North Bastar
4,Assam,51,North Cachar Hills
22,Meghalaya,390,North Garo Hills
10,Goa,129,North Goa
30,Sikkim,524,North Sikkim (Mangan)
33,Tripura,581,North Tripura
1,Andaman and Nicobar,2,North and Middle Andaman 
26,Odisha,440,Nowarangpur
26,Odisha,441,Nuapada
34,Uttar Pradesh,643,Oraya
20,Maharashtra,362,Osmanabad
15,Jharkhand,235,Pakur
17,Kerala,281,Palakad
15,Jharkhand,236,Palamu
29,Rajasthan,512,Pali
2,Andhra Pradesh,712,Palnadu
12,Haryana,178,Palwal
12,Haryana,179,Panchkula
11,Gujarat,154,Panchmahals
12,Haryana,180,Panipat
19,Madhya Pradesh,319,Panna
3,Arunachal Pradesh,24,Papum Pore
20,Maharashtra,363,Parbhani
36,West Bengal,693,Paschim Bardhaman
11,Gujarat,155,Patan
17,Kerala,282,Pathanamthitta
28,Punjab,469,Pathankot
28,Punjab,470,Patiala
5,Bihar,81,Patna
31,Tamil Nadu,544,Perambalur
24,Nagaland,408,Peren
29,Rajasthan,513,Phalodi
24,Nagaland,409,Phek
34,Uttar Pradesh,644,Pillibhit
35,Uttarakhand,669,Pithoragarh
27,Pondicherry,450,Pondicherry
14,Jammu and Kashmir,212,Poonch
11,Gujarat,156,Porbandar
2,Andhra Pradesh,12,Prakasam
29,Rajasthan,514,Pratapgarh
34,Uttar Pradesh,645,Pratapgarh
34,Uttar Pradesh,646,Prayagraj
31,Tamil Nadu,545,Pudukkottai
14,Jammu and Kashmir,213,Pulwama
20,Maharashtra,364,Pune
36,West Bengal,694,Purba Bardhaman
26,Odisha,442,Puri
5,Bihar,82,Purnea
36,West Bengal,695,Puruliya
34,Uttar Pradesh,647,Raebarelli
16,Karnataka,264,Raichur
20,Maharashtra,365,Raigad
7,Chattisgarh,119,Raigarh
7,Chattisgarh,120,Raipur
19,Madhya Pradesh,320,Raisen
32,Telangana,705,Rajanna Siricilla
19,Madhya Pradesh,321,Rajgarh
11,Gujarat,157,Rajkot
7,Chattisgarh,121,Rajnandgaon
14,Jammu and Kashmir,214,Rajouri
29,Rajasthan,515,Rajsamand
16,Karnataka,265,Ramanagar
31,Tamil Nadu,546,Ramanathapuram
14,Jammu and Kashmir,215,Ramban
34,Uttar Pradesh,648,Rampur
15,Jharkhand,237,Ranchi
32,Telangana,575,Ranga Reddy
31,Tamil Nadu,547,Ranipet
19,Madhya Pradesh,322,Ratlam
20,Maharashtra,366,Ratnagiri
26,Odisha,443,Rayagada
19,Madhya Pradesh,323,Rewa
12,Haryana,181,Rewari
12,Haryana,182,Rohtak
5,Bihar,83,Rohtas
28,Punjab,471,Ropar (Rupnagar)
26,Odisha,444,Rourkela
35,Uttarakhand,670,Rudraprayag
11,Gujarat,158,Sabarkantha
19,Madhya Pradesh,324,Sagar
34,Uttar Pradesh,649,Saharanpur
5,Bihar,84,Saharsa
15,Jharkhand,238,Sahebgang
23,Mizoram,401,Saiha
31,Tamil Nadu,548,Salem
5,Bihar,85,Samastipur
14,Jammu and Kashmir,216,Samba
26,Odisha,445,Sambalpur
34,Uttar Pradesh,650,Sambhal
29,Rajasthan,516,Sanchore
32,Telangana,700,Sangareddy
20,Maharashtra,367,Sangli
28,Punjab,472,Sangrur
34,Uttar Pradesh,651,Sant Kabir Nagar
15,Jharkhand,239,Saraikela(Kharsanwa)
5,Bihar,86,Saran
20,Maharashtra,368,Satara
19,Madhya Pradesh,325,Satna
19,Madhya Pradesh,326,Sehore
21,Manipur,381,Senapati
19,Madhya Pradesh,327,Seoni
33,Tripura,582,Sepahijala
34,Uttar Pradesh,652,Shahjahanpur
29,Rajasthan,517,Shahpura
19,Madhya Pradesh,328,Shajapur
34,Uttar Pradesh,653,Shamli
19,Madhya Pradesh,329,Shehdol
5,Bihar,87,Sheikhpura
5,Bihar,88,Sheohar
19,Madhya Pradesh,330,Sheopur
13,Himachal Pradesh,195,Shimla
16,Karnataka,266,Shimoga
19,Madhya Pradesh,331,Shivpuri
20,Maharashtra,369,Sholapur
14,Jammu and Kashmir,217,Shopian
34,Uttar Pradesh,654,Shravasti
4,Assam,52,Sibsagar
34,Uttar Pradesh,655,Siddharth Nagar
32,Telangana,576,Siddipet
19,Madhya Pradesh,332,Sidhi
29,Rajasthan,518,Sikar
8,Dadra and Nagar Haveli,126,Silvassa
15,Jharkhand,240,Simdega
20,Maharashtra,370,Sindhudurg
19,Madhya Pradesh,333,Singroli
13,Himachal Pradesh,196,Sirmore
29,Rajasthan,519,Sirohi
12,Haryana,183,Sirsa
5,Bihar,89,Sitamarhi
34,Uttar Pradesh,656,Sitapur
31,Tamil Nadu,549,Sivaganga
5,Bihar,90,Siwan
13,Himachal Pradesh,197,Solan
34,Uttar Pradesh,657,Sonbhadra
26,Odisha,446,Sonepur
12,Haryana,184,Sonipat
4,Assam,53,Sonitpur
36,West Bengal,696,Sounth 24 Parganas
1,Andaman and Nicobar,3,South Andaman
22,Meghalaya,391,South Garo Hills
10,Goa,130,South Goa
30,Sikkim,525,South Sikkim (Namchi)
33,Tripura,583,South Tripura
22,Meghalaya,392,South West Garo Hills
22,Meghalaya,393,South West Khasi Hills
2,Andhra Pradesh,713,Sri Sathya Sai
4,Assam,718,Sribhumi
2,Andhra Pradesh,13,Srikakulam
14,Jammu and Kashmir,218,Srinagar
7,Chattisgarh,122,Sukma
26,Odisha,447,Sundergarh
5,Bihar,91,Supaul
7,Chattisgarh,123,Surajpur
11,Gujarat,159,Surat
11,Gujarat,160,Surendranagar
7,Chattisgarh,124,Surguja
29,Rajasthan,520,Swai Madhopur
21,Manipur,382,Tamenglong
11,Gujarat,161,Tapi
28,Punjab,473,Tarntaran
3,Arunachal Pradesh,25,Tawang
35,Uttarakhand,671,Tehri Garhwal
21,Manipur,383,Tengnoupal
31,Tamil Nadu,550,Tenkasi
20,Maharashtra,371,Thane
31,Tamil Nadu,551,Thanjavur
11,Gujarat,162,The Dangs
31,Tamil Nadu,552,The Nilgiris
31,Tamil Nadu,553,Theni
17,Kerala,283,Thirssur
31,Tamil Nadu,554,Thiruchirappalli
31,Tamil Nadu,555,Thirunelveli
31,Tamil Nadu,556,Thirupathur
31,Tamil Nadu,557,Thirupur
17,Kerala,284,Thiruvananthapuram
31,Tamil Nadu,558,Thiruvannamalai
31,Tamil Nadu,559,Thiruvarur
31,Tamil Nadu,560,Thiruvellore
21,Manipur,384,Thoubal
19,Madhya Pradesh,334,Tikamgarh
4,Assam,54,Tinsukia
3,Arunachal Pradesh,26,Tirap
2,Andhra Pradesh,711,Tirupathi
29,Rajasthan,521,Tonk
24,Nagaland,410,Tsemenyu
24,Nagaland,411,Tuensang
16,Karnataka,267,Tumkur
31,Tamil Nadu,561,Tuticorin
29,Rajasthan,522,Udaipur
14,Jammu and Kashmir,219,Udhampur
35,Uttarakhand,672,Udhamsinghnagar
16,Karnataka,268,Udupi
19,Madhya Pradesh,335,Ujjain
21,Manipur,385,Ukhrul
19,Madhya Pradesh,336,Umariya
13,Himachal Pradesh,198,Una
34,Uttar Pradesh,658,Unnao
33,Tripura,584,Unokoti
3,Arunachal Pradesh,27,Upper Siang
3,Arunachal Pradesh,28,Upper Subansiri
36,West Bengal,697,Uttar Dinajpur
35,Uttarakhand,673,Uttarkashi
11,Gujarat,163,Vadodara(Baroda)
5,Bihar,92,Vaishali
11,Gujarat,164,Valsad
34,Uttar Pradesh,659,Varanasi
20,Maharashtra,372,Vashim
31,Tamil Nadu,562,Vellore
19,Madhya Pradesh,337,Vidisha
16,Karnataka,699,Vijayanagara
2,Andhra Pradesh,14,Vijayanagaram
32,Telangana,708,Vikarabad
31,Tamil Nadu,563,Villupuram
31,Tamil Nadu,564,Virudhunagar
2,Andhra Pradesh,15,Visakhapatnam
32,Telangana,707,Wanaparthy
32,Telangana,577,Warangal
20,Maharashtra,373,Wardha
17,Kerala,285,Wayanad
5,Bihar,93,West Chambaran
33,Tripura,585,West District
22,Meghalaya,394,West Garo Hills
2,Andhra Pradesh,16,West Godavari
22,Meghalaya,395,West Jaintia Hills
3,Arunachal Pradesh,29,West Kameng
22,Meghalaya,396,West Khasi Hills
3,Arunachal Pradesh,30,West Siang
30,Sikkim,526,West Sikkim (Gyalsing)
15,Jharkhand,241,West Singbhum
24,Nagaland,412,Wokha
16,Karnataka,269,Yadgiri
12,Haryana,185,Yamuna Nagar
27,Pondicherry,451,Yanam
20,Maharashtra,374,Yavatmal
24,Nagaland,413,Zunheboto
